t (s),FA (mol/s),FB (mol/s),FC (mol/s),FP (mol/s),XA,θA,θB,θC,θP,θV
0.4824108704165374,999971.5142037029,1.999971512362434e6,28.48395502833249,0.0,2.8485796297106347e-5,0.3264195284962701,0.6632097641645279,0.010370707171986005,0.0,1.6721597370650265e-10
0.5672426068491978,999968.0249184838,1.9999680238925898e6,31.974055622550093,0.0,3.19750815162001e-5,0.3264181006185326,0.6632090502256589,0.01037284898859235,0.0,1.672161437094033e-10
0.6669919663030115,999964.2846972184,1.9999642838867123e6,35.714492275900106,0.0,3.5715302781569314e-5,0.3264171029164224,0.6632085513746027,0.01037434554175836,0.0,1.67216525348568e-10
0.7842822061337682,999960.3387264499,1.9999603379559913e6,39.66050309200989,0.0,3.9661273550151144e-5,0.3264161698717568,0.6632080848522698,0.010375745108756796,0.0,1.6721660688057138e-10
0.9221978823334323,999956.2538626791,1.99995625312172e6,43.74539636110949,0.0,4.3746137320832545e-5,0.326415223744387,0.6632076117885852,0.010377164299810898,0.0,1.6721695729471353e-10
1.084365968689611,999952.1186499373,1.9999521179649762e6,47.88066510185669,0.0,4.788135006272842e-5,0.3264142682391419,0.6632071340359628,0.010378597557678277,0.0,1.6721707872535685e-10
1.2750512407130128,999948.0409823728,1.9999480403704264e6,51.958405681248195,0.0,5.1959017627223325e-5,0.326413326199789,0.6632066630162858,0.010380010616708018,0.0,1.6721712382816722e-10
1.4992684327860473,999944.1422879705,1.9999441417841625e6,55.85720822152233,0.0,5.585771202942791e-5,0.3264124255042022,0.6632062126684918,0.010381361660087544,0.0,1.6721843527911506e-10
1.762914118095948,999940.547391389,1.9999405469647977e6,59.45218202032511,0.0,5.9452608610954805e-5,0.32641159499641975,0.6632057974146008,0.010382607421761305,0.0,1.6721815945808238e-10
2.07292177959537,999937.3708777354,1.9999373705452497e6,62.62878977870051,0.0,6.262912226451256e-5,0.326410861137193,0.6632054304849875,0.010383708210601859,0.0,1.6721768587857344e-10
2.4374441501222215,999934.7009751454,1.9999347007295084e6,65.29877921750281,0.0,6.529902485452599e-5,0.3264102443153617,0.6632051220740719,0.010384633443348274,0.0,1.6721813343723024e-10
2.8660676169482504,999932.5848838943,1.999932584721096e6,67.41495330701487,0.0,6.741511610564022e-5,0.32640975543515377,0.6632048776339678,0.01038536676366017,0.0,1.672182670109379e-10
3.3700643292719317,999931.0194265358,1.9999310193168127e6,68.98046374093084,0.0,6.898057346416131e-5,0.32640939376924677,0.6632046968010151,0.010385909262519819,0.0,1.6721834160404736e-10
3.962688638701478,999929.9513347675,1.9999299512804344e6,70.04861089976073,0.0,7.004866523252495e-5,0.3264091470046522,0.6632045734187167,0.010386279409412641,0.0,1.6721843354439159e-10
4.659525668664677,999929.2885392279,1.999929288511288e6,70.71143283140707,0.0,7.071146077208823e-5,0.32640899387878913,0.6632044968557856,0.010386509098206733,0.0,1.67218548036141e-10
5.478901179593945,999928.9205672696,1.9999289205539029e6,71.07941936329324,0.0,7.107943273043649e-5,0.3264089088662563,0.6632044543495192,0.010386636617006097,0.0,1.6721837109434645e-10
6.44236350872137,999928.7412529612,1.9999287412463694e6,71.25874044726898,0.0,7.125874703883817e-5,0.32640886743864567,0.663204433635714,0.010386698758422356,0.0,1.672180137413104e-10
7.575250258771921,999928.666247887,1.9999286662461446e6,71.33375037062395,0.0,7.133375211310078e-5,0.3264088501098458,0.6632044249713134,0.01038672475162251,0.0,1.6721822884702142e-10
8.907354638610439,999928.6400201814,1.999928640019777e6,71.35997941398912,0.0,7.135997981855269e-5,0.32640884405008835,0.663204421941435,0.010386733841258254,0.0,1.672184179318803e-10
10.473708979594486,999928.63257781,1.9999286325776961e6,71.36742207601282,0.0,7.136742219004955e-5,0.32640884233081446,0.6632044210817978,0.010386736420169185,0.0,1.6721857232226967e-10
12.315506032928262,999928.6309276877,1.9999286309276503e6,71.36907227407364,0.0,7.136907231219958e-5,0.32640884194941505,0.6632044208910983,0.010386736992268365,0.0,1.6721820456089276e-10
14.481182276745331,999928.6306494843,1.9999286306494838e6,71.3693505143807,0.0,7.136935051565985e-5,0.3264088418850707,0.6632044208589261,0.010386737088784488,0.0,1.672187648765755e-10
17.027691722259014,999928.6306178218,1.9999286306178207e6,71.36938217747101,0.0,7.136938217822131e-5,0.326408841877742,0.6632044208552618,0.010386737099777936,0.0,1.672183017054074e-10
20.022003718155847,999928.6306148216,1.9999286306148216e6,71.36938517809564,0.0,7.136938517848801e-5,0.32640884187704033,0.6632044208549112,0.010386737100830391,0.0,1.6721811608999548e-10
23.542864143224154,999928.6306145345,1.999928630614534e6,71.36938546559797,0.0,7.136938546548066e-5,0.3264088418769627,0.6632044208548723,0.010386737100946907,0.0,1.672181733358702e-10
27.68286630392067,999928.6306144865,1.9999286306144865e6,71.36938551304551,0.0,7.13693855134423e-5,0.3264088418769459,0.6632044208548639,0.010386737100971514,0.0,1.6721865732372e-10
32.550885998350566,999928.6306144911,1.999928630614491e6,71.36938550915983,0.0,7.136938550889038e-5,0.32640884187694974,0.6632044208548654,0.010386737100966612,0.0,1.672182305817449e-10
38.27494478516315,999928.630614489,1.999928630614489e6,71.36938551100181,0.0,7.13693855109998e-5,0.3264088418769479,0.6632044208548643,0.01038673710096885,0.0,1.6721887936832491e-10
45.005576757004974,999928.630614489,1.999928630614489e6,71.36938551100256,0.0,7.13693855109998e-5,0.3264088418769478,0.6632044208548642,0.01038673710096894,0.0,1.6721912222961155e-10
52.91978735958437,999928.630614489,1.999928630614489e6,71.3693855110014,0.0,7.13693855109998e-5,0.326408841876948,0.6632044208548649,0.010386737100968843,0.0,1.672183311957065e-10
62.22570836730231,999928.630614489,1.999928630614489e6,71.3693855110005,0.0,7.13693855109998e-5,0.3264088418769482,0.6632044208548653,0.01038673710096876,0.0,1.6721774832861858e-10
73.16807143427192,999928.630614489,1.999928630614489e6,71.3693855110014,0.0,7.13693855109998e-5,0.3264088418769479,0.6632044208548648,0.010386737100968841,0.0,1.6721844395273244e-10
86.0346441668451,999928.630614489,1.999928630614489e6,71.36938551100148,0.0,7.13693855109998e-5,0.326408841876948,0.6632044208548646,0.010386737100968843,0.0,1.6721855324031143e-10
101.1637979766207,999928.630614489,1.999928630614489e6,71.36938551100145,0.0,7.13693855109998e-5,0.32640884187694796,0.6632044208548646,0.010386737100968844,0.0,1.6721855150558795e-10
118.95340673703207,999928.630614489,1.999928630614489e6,71.36938551100141,0.0,7.13693855109998e-5,0.32640884187694796,0.6632044208548649,0.010386737100968843,0.0,1.672183311957065e-10
139.87131026472358,999928.630614489,1.999928630614489e6,71.36938551100138,0.0,7.13693855109998e-5,0.32640884187694796,0.6632044208548649,0.010386737100968841,0.0,1.6721833293042998e-10
164.46761779946627,999928.630614489,1.999928630614489e6,71.36938551100141,0.0,7.13693855109998e-5,0.32640884187694796,0.6632044208548648,0.010386737100968843,0.0,1.6721844221800897e-10
193.3891750455232,999928.630614489,1.999928630614489e6,71.36938551100145,0.0,7.13693855109998e-5,0.32640884187694796,0.6632044208548646,0.010386737100968843,0.0,1.6721855324031143e-10
227.3965752357932,999928.630614489,1.999928630614489e6,71.36938551100151,0.0,7.13693855109998e-5,0.3264088418769481,0.6632044208548644,0.010386737100968844,0.0,1.6721866252789042e-10
267.3841615839944,999928.630614489,1.999928630614489e6,71.36938551100151,0.0,7.13693855109998e-5,0.3264088418769481,0.6632044208548645,0.010386737100968844,0.0,1.6721855150558795e-10
314.40354715915,999928.6306144889,1.999928630614489e6,71.36938551100144,0.0,7.136938551111083e-5,0.326408841876948,0.6632044208548648,0.010386737100968844,0.0,1.672184404832855e-10
369.6912707195032,999928.630614489,1.9999286306144893e6,71.36938551100141,0.0,7.13693855109998e-5,0.32640884187694796,0.6632044208548649,0.010386737100968843,0.0,1.672183311957065e-10
434.7013158125017,999928.630614489,1.999928630614489e6,71.3693855110014,0.0,7.13693855109998e-5,0.32640884187694796,0.6632044208548648,0.010386737100968841,0.0,1.6721844395273244e-10
511.14334834401654,999928.630614489,1.999928630614489e6,71.3693855110014,0.0,7.13693855109998e-5,0.3264088418769479,0.6632044208548648,0.010386737100968841,0.0,1.6721844395273244e-10
601.0276782070388,999928.630614489,1.999928630614489e6,71.3693855110014,0.0,7.13693855109998e-5,0.32640884187694796,0.6632044208548648,0.010386737100968843,0.0,1.6721844221800897e-10
706.7181273927476,999928.6306144891,1.999928630614489e6,71.36938551100141,0.0,7.136938551088878e-5,0.326408841876948,0.6632044208548648,0.010386737100968843,0.0,1.6721844221800897e-10
830.9941949353388,999928.630614489,1.999928630614489e6,71.36938551100145,0.0,7.13693855109998e-5,0.32640884187694796,0.6632044208548645,0.010386737100968843,0.0,1.672186642626139e-10
977.1241535346502,999928.630614489,1.999928630614489e6,71.3693855110015,0.0,7.13693855109998e-5,0.3264088418769481,0.6632044208548644,0.010386737100968844,0.0,1.6721866252789042e-10
1148.951000187311,999928.630614489,1.999928630614489e6,71.36938551100152,0.0,7.13693855109998e-5,0.3264088418769481,0.6632044208548645,0.010386737100968846,0.0,1.6721854977086448e-10
1350.9935211980253,999928.630614489,1.999928630614489e6,71.36938551100147,0.0,7.13693855109998e-5,0.326408841876948,0.6632044208548648,0.010386737100968844,0.0,1.672184404832855e-10
